,title,certification,rating,numStudent,difficulty,link,skills
31,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
32,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
33,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
34,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
35,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
36,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
37,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
38,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
39,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
40,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
41,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
42,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
43,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
44,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
45,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
46,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
47,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
48,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
49,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
50,Digital Marketing,SPECIALIZATION,4.6,550k,Beginner,https://www.coursera.org/specializations/digital-marketing,Digital MarketingMarketingPricing StrategiesMarketing MixProduct StrategiesData CollectionAnalyticsData AnalysisData Visualization (DataViz)Marketing AnalyticsMarketing PerformanceMarketing Channel
51,Business and Financial Modeling,SPECIALIZATION,4.5,180k,Beginner,https://www.coursera.org/specializations/wharton-business-financial-modeling,Financial ModelingMicrosoft ExcelSimulationLinear Programming (LP)ModelingLinear RegressionProbabilistic ModelsRegression AnalysisMonte Carlo MethodSolverRiskCash Flow
52,Financial Markets,COURSE,4.8,770k,Beginner,https://www.coursera.org/learn/financial-markets-global,Behavioral FinanceFinancial MarketsFinanceBehavioral Economics
53,UI / UX Design,SPECIALIZATION,4.7,140k,Beginner,https://www.coursera.org/specializations/ui-ux-design,Website WireframestrategyUser Interface Design (UI Design)User Experience (UX)User ResearchGraphic DesignAdobe XDAdobe IllustratorInVisionMarvelAdobe IndesignTreejack
54,Applied Data Science with Python,SPECIALIZATION,4.5,670k,Intermediate,https://www.coursera.org/specializations/data-science-python,Text MiningPython ProgrammingPandasMatplotlibNumpyData CleansingData VirtualizationData Visualization (DataViz)Machine Learning (ML) AlgorithmsMachine LearningScikit-LearnNatural Language Toolkit (NLTK)
55,Foundations of Positive Psychology,SPECIALIZATION,4.8,110k,Beginner,https://www.coursera.org/specializations/positivepsychology,Gratitudegoal settingResearch MethodologyResilienceCharacter Strengths And VirtuesPositive EducationPositive PsychologySavoringPlanCommunicationMindfulnessFlourishing
56,Project Management & Other Tools for Career Development,SPECIALIZATION,4.6,610k,Beginner,https://www.coursera.org/specializations/project-management-success,Project ManagementRisk ManagementCommunicationNegotiationProjectPlanningProject PlanningChange ControlChange ManagementProofreadingBusiness WritingWriting
57,IBM AI Engineering,PROFESSIONAL CERTIFICATE,4.6,190k,Intermediate,https://www.coursera.org/professional-certificates/ai-engineer,Data ScienceArtificial Neural NetworkArtificial Intelligence (AI)Machine LearningPython ProgrammingBig DataSparkDeep Learningkeras
58,Excel to MySQL: Analytic Techniques for Business,SPECIALIZATION,4.6,590k,Beginner,https://www.coursera.org/specializations/excel-mysql,Binary ClassificationData AnalysisTableau SoftwareSQLBusiness AnalysisBusiness AnalyticsBusiness ProcessMicrosoft ExcelLinear RegressionData Visualization (DataViz)Visualization (Computer Graphics)MySQL
59,Introduction to Psychology,COURSE,4.8,500k,Beginner,https://www.coursera.org/learn/introduction-psychology,reasoningProblem Solvingabstract thinkinganalytical thinkingCritical Thinking
60,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
61,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
62,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
63,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
64,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
65,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
66,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
67,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
68,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
69,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
70,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
71,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
72,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
73,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
74,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
75,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
76,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
77,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
78,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
79,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
80,Algorithms,SPECIALIZATION,4.8,180k,Intermediate,https://www.coursera.org/specializations/algorithms,AlgorithmsDynamic ProgrammingGreedy AlgorithmDivide And Conquer AlgorithmsRandomized AlgorithmSorting AlgorithmGraphsData StructureHash TableSpanning TreeNp-Completeness
81,(ISC)² Systems Security Certified Practitioner (SSCP),SPECIALIZATION,4.7,7.4k,Beginner,https://www.coursera.org/specializations/sscp-training,AlgorithmsDynamic ProgrammingGreedy AlgorithmDivide And Conquer AlgorithmsRandomized AlgorithmSorting AlgorithmGraphsData StructureHash TableSpanning TreeNp-Completeness
82,Reinforcement Learning,SPECIALIZATION,4.7,41k,Intermediate,https://www.coursera.org/specializations/reinforcement-learning,Artificial Intelligence (AI)Machine LearningReinforcement LearningFunction ApproximationIntelligent Systems
83,Academic English: Writing,SPECIALIZATION,4.7,720k,Beginner,https://www.coursera.org/specializations/academic-english,PunctuationEssay WritingAcademic WritingWritingEnglish GrammarGrammarCreative Writing
84,AI Foundations for Everyone,SPECIALIZATION,4.7,130k,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,Data ScienceDeep LearningArtificial Intelligence (AI)Machine LearningWatson (Computer)JobsApplication Programming Interfaces (API)watson
85,Leading People and Teams,SPECIALIZATION,4.7,300k,Beginner,https://www.coursera.org/specializations/leading-teams,Vision AlignmentTalent ManagementGoals and RewardsMotivate EmployeesLeadershipgoal settingCommunicationLeadership DevelopmentOnboardingCoachingRecruitmentManagement
86,"TESOL Certificate, Part 1: Teach English Now!",SPECIALIZATION,4.9,140k,Beginner,https://www.coursera.org/specializations/tesol,EducationOnline Learning
87,Career Success,SPECIALIZATION,4.5,990k,Beginner,https://www.coursera.org/specializations/career-success,Project ManagementInformation Technology (IT) ManagementCommunicationNegotiationLeadershipTeam ManagementTask ManagementManagementPlanningPlanAccountingFinancial Ratio
88,Fintech: Foundations & Applications of Financial Technology,SPECIALIZATION,4.6,28k,Beginner,https://www.coursera.org/specializations/wharton-fintech,Investment ManagementCryptocurrencyregulationBlockchain
89,The Bits and Bytes of Computer Networking,COURSE,4.7,250k,Beginner,https://www.coursera.org/learn/computer-networking,Domain Name System (DNS)Ipv4Network ModelTroubleshooting
90,Statistics with R,SPECIALIZATION,4.7,280k,Beginner,https://www.coursera.org/specializations/statistics,Bayesian StatisticsLinear RegressionStatistical InferenceR ProgrammingStatisticsRstudioExploratory Data AnalysisStatistical Hypothesis TestingRegression AnalysisBayesian Linear RegressionBayesian InferenceModel Selection
91,Successful Negotiation: Essential Strategies and Skills,COURSE,4.8,940k,Mixed,https://www.coursera.org/learn/negotiation-skills,Strategic NegotiationsCommunicationNegotiationDecision Tree
92,Construction Management,SPECIALIZATION,4.7,75k,Beginner,https://www.coursera.org/specializations/construction-management,ScheduleFinanceCost ControlCost EstimateProject ManagementConstruction ManagementWork Breakdown StructureProject PlanningLinear Scheduling MethodProgram Evaluation And Review Technique (PERT)Critical Path MethodCash Flow
93,"Brand Management: Aligning Business, Brand and Behaviour",COURSE,4.9,130k,Beginner,https://www.coursera.org/learn/brand,Corporate BrandingBrand MarketingBrand ManagementBrand Identity
94,Data Structures and Algorithms,SPECIALIZATION,4.6,440k,Intermediate,https://www.coursera.org/specializations/data-structures-algorithms,DebuggingSoftware TestingAlgorithmsData StructureComputer ProgrammingDynamic ProgrammingBinary Search TreePriority QueueHash TableStack (Abstract Data Type)ListGraph Theory
95,Regulatory Compliance,SPECIALIZATION,4.8,19k,Intermediate,https://www.coursera.org/specializations/regulatory-compliance,Risk ManagementBusiness StrategyComplianceHuman Resources ManagementBrand ManagementStrategic PlanningManagementOrganizational BehaviorInformation PrivacyData ManagementPrivacy ComplianceOperations Management
96,Social Media Marketing,SPECIALIZATION,4.6,160k,Beginner,https://www.coursera.org/specializations/social-media-marketing,Business PlanningDigital MarketingSocial Media MarketingInfluencer MarketingAnalyticsSocial MarketingSocial NetworkSocial MediaMarketing StrategyWritingA/B TestingBudget
97,What is Data Science?,COURSE,4.7,370k,Beginner,https://www.coursera.org/learn/what-is-datascience,Business PlanningDigital MarketingSocial Media MarketingInfluencer MarketingAnalyticsSocial MarketingSocial NetworkSocial MediaMarketing StrategyWritingA/B TestingBudget
98,Accelerated Computer Science Fundamentals,SPECIALIZATION,4.7,48k,Intermediate,https://www.coursera.org/specializations/cs-fundamentals,Run-time AnalysisAlgorithmsHash TableTrees (Data Structures)Object-Oriented Programming (OOP)
99,Fundamentals of Project Planning and Management,COURSE,4.7,170k,Beginner,https://www.coursera.org/learn/uva-darden-project-management,Risk AnalysisProject PlanningPlanningManagementProject Management
100,Geographic Information Systems  (GIS),SPECIALIZATION,4.8,120k,Beginner,https://www.coursera.org/specializations/gis,Geographic Information System (GIS)SatelliteImagery AnalysisModel Buildingspatial visualizationSpatial AnalysisData AnalysisData Visualization (DataViz)SoftwareAnalyticsWorkflowData Management
101,User Experience Research and Design,SPECIALIZATION,4.8,49k,Beginner,https://www.coursera.org/specializations/michiganux,User ResearchAffinity Diagramhuman computer interactionUser Experience (UX)User Experience Design (UXD)Adobe Photoshop
102,Genomic Data Science,SPECIALIZATION,4.4,100k,Intermediate,https://www.coursera.org/specializations/genomic-data-science,BioconductorBiopythonPython ProgrammingR ProgrammingGalaxyBioinformaticsStatisticsData ScienceComputational BiologyData AnalysisGenomeGenomics
103,Creative Writing,SPECIALIZATION,4.6,190k,Beginner,https://www.coursera.org/specializations/creative-writing,Short Story WritingFiction WritingCreativityCopy Editing
104,Methods and Statistics in Social Sciences,SPECIALIZATION,4.6,330k,Beginner,https://www.coursera.org/specializations/social-science,StatisticsStatistical InferenceR ProgrammingQualitative ResearchConfidence IntervalStatistical Hypothesis TestingRegression AnalysisAnalysis Of Variance (ANOVA)
105,Full-Stack Web Development with React,SPECIALIZATION,4.7,270k,Intermediate,https://www.coursera.org/specializations/full-stack-react,Bootstrap (Front-End Framework)Node.JsReact (Javascript Library)ReduxJquerySASS (Stylesheet Language)AuthenticationMongodbExpress.Js
106,Object Oriented Programming in Java,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/object-oriented-programming,Data StructureHash TableJava ProgrammingObject-Oriented Programming (OOP)AlgorithmsProblem SolvingString (Computer Science)CryptographyLogic ProgrammingSorting AlgorithmTrees (Data Structures)Linked List
