Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2320944376,2020-11-24,Desjardins,Business analyst,"Montreal, Quebec, Canada","Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.   NV-09  As a business analyst, you help develop plans and business intelligence; monitor business plans and performance; set targets; identify opportunities to improve service delivery; and develop and deliver business strategies and solutions aligned with the business architecture of various initiatives, including the organizational shift and transformation.  You analyze clients’ business needs and business context on important projects and initiatives. From needs assessment to rollout, you identify, design and recommend business solutions, analyze their impacts on the organization, and ensure they’re integrated.  More specifically, you’ll be assigned to the tactical positioning project on reporting solutions for international services development managers. Your projects and initiatives require extensive knowledge of your line of work.  You help solve complex problems requiring comprehensive analysis and knowledge of your line of business and the ability to manage uncertainty and ambiguity. Coordination is critical, so you frequently interact with stakeholders working in other fields. Interpersonal savvy and the ability to balance the interests of multiple parties are therefore essential.  You serve as resource person for your unit, teams and clients.        Please note that other combinations of qualifications and relevant experience may be considered     Knowledge of the sector of business services (an asset)    Action oriented, Collaborates, Customer Focus, Innovation   Ambiguity, Innovation, Interpersonal Savvy, Stakeholders   Complexe Desjardins Montréal   Non Syndiqué   2020-12-4   Administration (FG)",Not Applicable,Full-time,Business DevelopmentSales,BankingInsuranceFinancial Services
2320945151,2020-11-24,Desjardins,"Analyst, Management information","Montreal, Quebec, Canada","Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.   NV-08  Information Security Mechanism Enhancement's mission is to develop, implement and use security mechanisms to maintain the security of business applications and the data of Group Desjardins members and clients. It also coordinates cross sector security initiatives in the other IT divisions to ensure mechanism consistency between the various sectors. These mechanisms include the tools, practices and methods for managing access to applications and systems and using data while complying with security governance.  As a management information analyst, you help extract data and produce reports and indicators for the organization by developing and administering information systems. You analyze and adapt management systems based on the organization’s changing needs.  You analyze and help diagnose issues, provide opinions in accordance with the rules for your discipline, and help develop recommendations and implementation plans. You develop tools, methods and processes. Your projects and initiatives require extensive knowledge of your line of work.  You share ideas and help solve problems using your analytical skills, extensive knowledge of your line of business and ability to manage complexity. You interact with stakeholders working in other fields.  You provide discipline-specific support to your unit, clients and partners.        Please note that other combinations of qualifications and relevant experience may be considered     Proficiency in Power BI    Action oriented, Collaborates, Customer Focus, Innovation   Business insight, Complexity   Complexe Desjardins Montréal   Non Syndiqué   2020-12-1   Administration (FG)",Not Applicable,Full-time,Information Technology,BankingInsuranceFinancial Services
2320943340,2020-11-24,Athennian,IT Business Analyst,"Calgary, Alberta, Canada","About Athennian  Athennian is the first cloud-based legal entity and corporate records management platform. By integrating modern technologies such as document automation, eSign, virtual minute books and direct e-file integrations with corporate registries, Athennian is being adopted rapidly by both law firm and in-house customers. Come build the future of corporate services with us!  Our Culture  We believe incredible teams can solve any problem and we strive to be an inclusive workplace where ideas thrive. We are first and foremost an organization of people who are passionate about learning, building and sharing software to transform the legal industry.  Our team members thrive when they’re engaged at work. This includes everything from an engaging environment, deep and meaningful relationships to challenging work. That’s why we have a laundry list of opportunities for our people to find what keeps them engaged at work. Whether you want to customize your workspace, show & tell your newest hobby to the team or grow your capabilities with a stretch project - we’re here to help you become the highest performer you can be, while still having fun and connecting with coworkers.  We offer competitive benefits and perks because we believe that happy people produce great results. We are always adding to this list based on employee feedback.  Role Summary  We are looking for an experienced and versatile IT Business Analyst to assist us as we continuously improve our information technology systems. This position reports to the Chief Technology Officer and requires outstanding IT expertise, with in-depth business knowledge, a strong attention to detail and the ability to work with minimal supervision.            Benefits at Athennian  Generous vacation/sick/flex days, remote work options, flexible working hours, health/dental/vision/group life/LTD/AD&D benefits after 90 days, high growth environment, teambuilding, day-to-day variety (never a dull moment), MacBook for all employees, stock options, and a culture of transparency.",Associate,Full-time,Business DevelopmentSales,Information Technology and ServicesComputer SoftwareInternet
2301966614,2020-11-24,TELUS,SR Business Analyst,"Vancouver, British Columbia, Canada","About The Team  We are the Business Intelligence and Marketing Technology team, an integral part of TELUS Business Marketing. We are a dynamic, entrepreneurial, and engaged team driven to serve Small and Medium business customers who represent a growing segment for TELUS. This team drives the business market intelligence and advanced analytics, providing insightful internal and external data on our customers and business performance. We are also responsible for enabling, accelerating, and measuring marketing campaigns through customer data enrichment, marketing technology, and campaign automation. We are as passionate about our team and our customers as we are about our business, and we’re looking for people who get excited about thinking and delivering differently.  Our team members include people like you – Curious, analytical, innovative, and authentic. We believe that you’ll find our high-performance culture personally fulfilling, professionally challenging, and rewarding. Join our team and make your future friendly too.    As a Sr Business Analyst your primary focus will be empowering the business with trusted, high quality data from across the value chain, leveraging multiple data sources, tools and technologies. You will be responsible for developing and executing on our long term data strategy enabling end users to drive insights and analytics with trusted quality data.       CA-BC-Vancouver    CA-ON-Toronto, CA-QC-Montreal, CA-AB-Calgary    Full-time         We're a high-performing team of individuals who collectively make TELUS one of the leading telecommunications companies in Canada. Our competitive consumer offerings include wireline, wireless, internet and Optik TV™. We also deliver a compelling range of products and services for small, medium and large businesses; and have carved out a leadership position in the health, energy, finance and public sector markets with innovative industry specific solutions.  Everyone belongs at TELUS. It doesn’t matter who you are, what you do or how you do it, at TELUS, your unique contribution and talents will be valued and respected. Because the more diverse perspectives we have the more likely we are to crack the code on what our customers want and our communities need.  Do you share passion?  At TELUS, you create future friendly® possibilities.  At TELUS, we are committed to diversity and equitable access to employment opportunities based on ability.",Not Applicable,Full-time,Business DevelopmentSales,Information Technology and ServicesTelecommunicationsUtilities
2303334213,2020-11-24,LeverageTek IT Solutions,Business Analyst - ERP Financials,"Ottawa, Ontario, Canada",Opportunity Details LeverageTek is actively seeking a Business Analyst for a 4-month contract with its Ottawa-based customer.  **This contract has a possible 1-year extension.,Mid-Senior level,Contract,Information Technology,Performing ArtsInformation Technology and Services
2301963954,2020-11-24,Quantum Technology Recruiting Inc.,Senior Data Analyst – Contract ,"Toronto, Ontario, Canada","Our client, a leading Crown Agency, is currently embarking on an exciting digital transformation. As part of this transformation, they require a highly skilled Senior Data Analyst who will be responsible providing analytics, reporting and dashboarding that will help solve complex business problems and drive change.",Mid-Senior level,Contract,Information Technology,Information Technology and Services
2320907507,2020-11-24,E-Solutions,BA+Credit card,"Toronto, Ontario, Canada"," Title: Credit Card Business Analyst Location: Toronto, ON Job Type: FTE   Job Description:   ·The Banking/Credit Card Business Analyst would need to have at least 5 to 7 years of experience. This Candidate must be strong with good communication and Banking/Credit card business knowledge. ·Require 3-5 years of BA experience (Banking/Credit Card Domain); Solution or Services experience is a must have.. ·Provide business analysis and technical support for credit card business functions within the Client's Downstream business. ·Construct data flow diagrams, business and system context diagrams. ·Working closely with business analyst lead, business relationship managers, business stakeholders and technical analysts eliciting, documenting and translating business requirements into added value technical solutions aligned with business objectives for projects with multiple operating companies and personnel at various levels within each organization. ·Understand business opportunities and challenges Elicit, document, and finalize business requirements (e.g., processes, data, business rules, functions etc.). ·Proficient experience with Software Development LifeCycle (SDLC) and Agile processes and IT terms and methods.          ",Entry level,Other,FinanceSales,Food ProductionStaffing and RecruitingHospital & Health Care
2320903576,2020-11-24,Laurentian Bank of Canada,"Senior analyst, Credit portfolio monitoring and management","Montreal, Quebec, Canada","Job Description  About Laurentian Bank Financial Group  Founded in 1846, Laurentian Bank Financial Group (LBCFG) is a diversified financial services provider whose mission is to help its customers improve their financial health. The Laurentian Bank of Canada and its entities are collectively referred to as Laurentian Bank Financial Group (the ""Group"" or the ""Bank"").  With more than 2,900 employees guided by the values of proximity, simplicity and honesty, the Group provides a broad range of advice-based solutions and services to its personal, business and institutional customers. With pan-Canadian activities and a presence in the U.S., the Group is an important player in numerous market segments.  The role is to fill under Laurentian Bank a subsidiary of the Laurentian Bank Financial Group.  Additional Information  We welcome and encourage applications from individuals from all groups, including aboriginal, women, visible minorities, and persons with disabilities, regardless of race, ethnicity, sexual orientation, creed, family status, national origin, age and gender.",Associate,Full-time,FinanceSales,Financial ServicesBanking
2320899756,2020-11-24,E-Solutions,Senior Business Analyst,"Mississauga, Ontario, Canada","Job Title: Senior Business Analyst withMutual funds/Segregated fundsexperience Location: Matheson Mississauga ON Canada Job Type Fulltime  Over 7 years of Senior Business Analyst experience and the ability to work with project team located globally and in different time zones. Strong experience in Mutual funds/Segregated funds. Understand product standards and roadmaps used for different lines of business i.e. Securities, Insurance, , Legislative products i.e. RESP, RRSP  Regards,  Cell: (732) 357-3781 email : vimal.tyagi@e-solutionsinc.com www.e-solutionsinc.com   Disclaimer: provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. We especially invite women, minorities, veterans, and individuals with disabilities to apply. EEO/AA/M/F/Vet/Disability.",Entry level,Full-time,Business DevelopmentSales,Staffing and Recruiting
2303327904,2020-11-24,Goalcast,Data Analyst,"Montreal, Quebec, Canada","Important message  Part of our application process includes sending a video of yourself answering questions (included below). Submitting a resume without sending answering the questions will result in an automatic denial.    Goalcast is the world’s leading empowering media company and we don’t take that lightly. Our short documentaries reach over 500M people each month and inspire them to dream big, equip them with the tools they need to make their dreams come true and are even known to completely change the trajectory of our viewers' lives. We’re on a mission to change the world by empowering people to live the impossible -- and the plays a crucial role in accomplishing that mission.  The ideal candidate for this role is both intuitive and obsessed with uncovering insights that hold the key to exponential growth. You will be successful in this role if you are data driven, you are meticulous and detail oriented, you thrive in collaborative environments and are comfortable influencing people and decisions. You are passionate about solving challenging problems and will stop at nothing to achieve your goals!               We love collaboration, grit and commitment -- so we’ve built our team that way. The number one benefit to working with Goalcast is working with people that truly love what they do, thrive to be the best and are committed to changing the world .    To join and grow with the world’s largest community of over achievers, please include your responses to the questions below in your cover letter. Resumes submitted without responses will be considered incomplete and will rejected automatically.    1 If there was a Goalcast video of your life, what would the storyline be?    Bonus: Please let us know how you found out that we are hiring ( FB video ad, FB Ads, Indeed, Linked In ...)  We appreciate all responses and advise that only those candidates selected for an interview will be contacted.  Job Type: Full-time",Entry level,Full-time,Information Technology,Broadcast Media
2301962631,2020-11-24,Arctic Wolf,Concierge Security Analyst - 2,"Kitchener, Ontario, Canada","Ready to make an impact? Arctic Wolf is looking for a Concierge Security Analyst to join our pack.  Arctic Wolf, the leader in security operations, is a fast-growing company in an exciting and fast-growing industry—Cybersecurity. How fast are we growing? Well, for North America in 2019! We have doubled headcount, customers, and revenue for five years running.  We are also cultivating a collaborative and productive work environment that welcomes a diversity of backgrounds and ideas to make our teams even stronger. In fact, we are considered among the by bizjournals.com.  At Arctic Wolf, we believe in corporate responsibility. Our offices across North America participate in volunteer programs throughout their communities, and we earned distinction from TravelWise for our efforts in promoting sustainable transportation.    The Concierge Security Analyst is a key member of the Concierge Security Team that delivers world-class Arctic Wolf security services. The Analyst supports the technical relationship with their assigned customers and leverages their skills and expertise to fulfill these key responsibilities:  The Concierge Security Analyst role combines aspects of an IT Security Analyst, a Security Architect, and an Incident Response Consultant. A successful Analyst possesses strong technical aptitude and an ability to communicate, educate, and share information effectively with non-technical people.    You thrive in fast-paced environments and have a positive can-do attitude. You are a critical thinker that continually learns and can navigate uncertainty. You enjoy working with customers and in a team, are an excellent communicator, and are able to easily interact with a variety of people, personalities and technical skill levels. Above all, your passion for cybersecurity and partnering with customers shows in everything you do!          Each successful candidate will be required to pass a criminal background check and an employment verification as a condition of employment.    Arctic Wolf recognizes that success comes from delighting our customers, so we work together to ensure that happens every day. We believe in diversity and inclusion, and truly value the unique qualities all employees bring to the organization. And we appreciate that—by protecting people’s and organizations’ sensitive data— we get to work in an industry that is fundamental to the greater good.     If you're excited about this role, but do not meet all of the qualifications listed above, we encourage you to apply anyway. We review all applications and still may consider you the right person for the role or have another open position where you’re the perfect fit.  Arctic Wolf is an Equal Opportunity Employer and considers applicants for employment without regard to race, color, religion, sex, orientation, national origin, age, disability, genetics, or any other basis forbidden under federal, provincial, or local law.  Arctic Wolf is committed to fostering a welcoming, accessible, respectful, and inclusive environment that ensures equal access and participation for people with disabilities. Please let us know if you require any accommodations by emailing recruiting@arcticwolf.com",Associate,Full-time,ManagementManufacturing,Computer & Network Security
2320884355,2020-11-24,TekStaff IT Solutions,Business Analyst - 5,"Toronto, Ontario, Canada",This is a 6 month contract located in Toronto / Remote.  If you are interested in this posting please call me or send me your updated resume formatted in word. Please fill out the representation agreement highlighted in green and the Qualifying Questions chart below.  If you are not interested but know of someone who meets this criteria please feel free to forward them my contact information.   I hereby give TekStaff IT Solutions the sole right to represent me to request < 16509 Business Analyst - 5 >. **,Entry level,Contract,Business DevelopmentSales,Information Technology and ServicesComputer SoftwareFinancial Services
2320883137,2020-11-24,IFG - International Financial Group,Data Analyst,Greater Vancouver Metropolitan Area,"Title: Data Analyst  Location: Downtown Vancouver  Duration: Jan 2021- Feb 2022  The Data Analyst will work alongside data engineers to obtain data, monitor data quality, and perform ETL for dashboarding and analysis. This job uses product telemetry data to provide data-driven insights, as well as defines the key telemetry to measure future outcomes against.",Associate,Contract,Analyst,Information Technology and Services
2303328674,2020-11-24,C.A.T. Inc.,Business Analyst (IT)/Analyste d'affaire (TI),"Coteau-du-Lac, Quebec, Canada","Role Participate in the implementation of a new Accounting solution in a multi-company, multi-currency environment Define integration points with other systems, and coordinate the development and implementation of all interfaces",Associate,Full-time,AnalystInformation Technology,Transportation/Trucking/Railroad
2312812335,2020-11-24,Finance Professionals Inc.,"Technical Business Analyst, Capital Markets","Toronto, Ontario, Canada","Our client, one of Canada’s top tier banks, is in need of multiple Technical Business Analysts with Back Office experience in Settlements/Confirmations/Reconciliations. Supporting the Information Technology & Solutions department, the successful candidate will support a variety of enterprise-wide projects and must possess knowledge & experience of each unique business line. This will include the management of the departments systems, enhancements, and maintenance for small, medium, and large project sizes throughout the worldwide operations.",Mid-Senior level,Contract,AnalystConsultingFinance,Capital MarketsBanking
2303327713,2020-11-24,Varicent,Lead Quality Assurance Analyst - Symon,"Toronto, Ontario, Canada","Varicent is the leader in the Sales Performance Management market. Varicent, an established incumbent continues to capture market share in this fast growing, multi-billion dollar market. Work with us, learn what it takes to be the leader in a competitive global software industry.",Associate,Full-time,Quality Assurance,Computer Software
2303327617,2020-11-24,Modis,DATA QA Analyst - Remote- Contract,"Toronto, Ontario, Canada",·      Must haves: QA Analyst (Data) -Level: Intermediate to Senior #required - 2 Experience of at least 5 years in Data with strong SQL knowledge Must have experience in testing ETL and Data Models,Mid-Senior level,Contract,Information Technology,Information Technology and ServicesFinancial Services
2303318850,2020-11-24,Fiera Capital,"Analyst, Portfolio and Trading Compliance ","Montreal, Quebec, Canada","Location: Montreal or Toronto  Under the supervision of the Supervisor, Portfolio and Trading Compliance, the Analyst ensures that the Compliance Department’s daily operations are running smoothly. The Analyst’s duties consist of monitoring compliance with investment policies, updating client files and market data in the monitoring systems, answering ad hoc questions from portfolio managers and account managers, performing compliance tests, enforcing regulations and preparing regulatory filings. The Analyst works in a confidential environment.",Associate,Full-time,AnalystFinance,Investment Management
2320834015,2020-11-24,Home Construction Regulatory Authority,Senior Data Analyst,"Toronto, Ontario, Canada","The Home Construction Regulatory Authority (HCRA) is a private not-for-profit corporation that will be the regulatory authority responsible for licensing of Ontario’s new home builders and vendors. HCRA intends to foster improved home quality and homebuyer confidence in the home building industry through modernized licensing standards, education and compliance, providing increased consumer protection through enhanced regulatory measures. To learn more about HCRA please visit www.hcraontario.ca.",Associate,Full-time,AdministrativeAnalyst,Government Administration
2320832349,2020-11-24,Axelon Services Corporation,NAM-CA-Business Analyst-Supervisory (CAD),"Mississauga, Ontario, Canada","Global Financial Firm located in Mississauga, ON has an immediate contract opportunity for an experienced Business Analyst-Supervisory  ""This role is currently work-from-home and will move to the office environment after the COVID-19 restrictions are lifted.” must have reliable internet, computer and android or iphone for remote access  10+ years; Capital Markets Trade Lifecycle (expertise in one/more products - Cash Securities, OTC Derivs, Loans/Deposits), Data Analysis (SQL), MS Excel, MS Office    Candidate has the opportunity to be a contributor to the Client Markets Data Strategy and contribute towards the goal of increasing revenue by providing key analytics/MIS/metrics for decision making, whilst also improving regulatory quality and accuracy. The candidate will work directly with bright and innovative individuals on both the business and technology side, giving broad exposure to front-to-back trade processing and electronic trading across all asset classes. The successful candidate can make a significant difference to business performance.   • Define cutover strategy from existing solutions to newer strategic solutions • Develop Subject Matter Expertise on the key data elements that are consumed for reporting data to external and internal clients • Ensure adherence to and develop best practices supporting Client's Project Management Standards • Ensure the business reporting needs are met with the most elegant and timely technology solutions • Ensuring proper development life cycle is followed with artefacts to support Internal Audit and any inquiries • Gather business requirements, perform detailed analysis, and produce associated functional specifications across multiple functions. • Go-live support, investigation of issues. • Participation in large-scale ""highly-visible” SIT/UAT testing cycles managing technology and business stakeholders • Partner with business & technology leads globally to deliver an E2E solution. • Partner with business, technology and quant stakeholders to suggest innovative solutions to existing issues • Produce implementation approach, timelines, go-live strategy. • Project management & oversight of the deliverables & resources distributed across many different technology teams across the front to back application stack. • Provide regular updates to senior management in technology, middle office & front office • Training of relevant teams prior to go-live of new business processes/products, functionality or applications • Work as lead business analyst/project manager in the Olympus team supporting reporting for external and internal clients • Work with Data Governance and Quality teams to understand data issues • Work with technology leads across various teams to accomplish the reporting objective • Work with various technology leads to ensure the gaps in the data completeness or accuracy are converted into prioritized Book of Work items   Exceptional candidates who do not meet these criteria may be considered for the role provided they have the necessary skills and experience.  • 10+ years of business analysis experience in client facing business management roles. • Significant Business Analysis experience across the full project lifecycle (requirements, design, development, testing and deployment). • Experience with Global Markets Product Knowledge • Understanding of regulatory constraints and experience in delivering regulatory projects is extremely desirable (MiFID II, SFTR, SDRE (EMIR, CFTC, Volcker, etc.) • Front, Middle and Back Office exposure • Microsoft Office - Excel, Word, Project, Visio, PowerPoint • Strong SQL with experience working with RDMS such as Oracle, Sybase, Netezza • Experience working with teams supporting business intelligence platforms such as Tableau, QlikView will be a plus • A history of delivering against agreed objectives • Ability to handle complex projects independently • Ability to leverage strong interpersonal collaboration skills in a fast-paced team environment • Ability to multi-task and work under pressure • Ability to pick up new concepts and apply the knowledge. • Comfortable in presenting suggestions for change and or improving work flow • Demonstrated leadership skills • Enthusiastic and proactive approach with willingness to learn • Excellent analytical and process-based skills, i.e. process flow diagrams, business modelling, and functional design; • Excellent communication skills (there is a requirement to be Business facing) • Excellent organizational and multi-tasking skills with tremendous attention to detail • Familiarity or the ability to quickly understand and formulate application level requirements pertaining to complex workflows, or integration with external applications • Problem-solving and facilitation skills • Proficient at writing and delivering business requirement documents and presentations • Proven delivery record of multiple projects involving process change and technology enhancements. • Proven interpersonal skills with ability to partner and influence across organizational lines • Self-motivation and prioritization of tasks and actions to hit deadlines according to business priorities • The candidate is expected to be dynamic, flexible with a high energy level as this is a demanding and rapidly changing environment • Thoroughness and organization is expected, as well as sound judgment",Associate,Other,Business DevelopmentSales,Information Technology and ServicesFinancial ServicesHospital & Health Care
2320802350,2020-11-24,Procom,Senior Data Management Analyst - Edmonton,"Edmonton, Alberta, Canada","Data Management Analyst - Senior  On behalf of our client, Procom is seeking a Data Management Analyst - Senior for a six month contract working remotely.          6 months with strong possibility for extensions    Remote    ASAP",Associate,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareFinancial Services
2320800370,2020-11-24,Procom,Business Analyst,"Toronto, Ontario, Canada","Business Analyst  Business Analyst - On behalf of our client in the Public Sector, Procom is seeking a Business Analyst       ASAP   14 months contract   Remote, Toronto",Associate,Full-time,Business DevelopmentSales,Information Technology and ServicesComputer SoftwareFinancial Services
