title,location,description
Lead Data Scientist,"Newton, Massachusetts 02464",
Data Scientist/Developer -ADV,"Rest of Connecticut, CT","	 
"
Senior Data Scientist - HR,"Hershey, Pennsylvania","Job Location: Hershey, PA
 
 
Summary: 
The HR Workforce Analytics team provides exciting opportunities to shape the future of the Hershey workforce.  As a Data Scientist on the team, you'll partner with Information Services and HR business partners to build value-driven, data-fueled, machine-intelligent capabilities that enable informed decision making. You will work with large volumes of data, innovative technologies, and advanced methodologies to solve complex business problems impacting the happiness of all Hershey Company employees, customers, and consumers.  
Applicants should have a strong background in machine learning (supervised and unsupervised), statistical modeling, feature discovery/selection, exploratory data analysis, data mining and pattern recognition.
Applicants should have a strong interest in advancing an enterprise culture of diversity and inclusion, belonging, and trust.
 
 
 
Primary responsibilities: 
Provides diversity and inclusion insights through the development, reporting, and analysis of inclusion programs, projects, and data management
Interact with HR business partners, technologists, and engineers to understand, define, frame, scope, and prioritize analytical opportunities for shaping the Hershey workforce
As part of a team, design and develop the simplest and most applicable analytical solutions to fuel critical HR business partner needs
Design, develop and evaluate innovative predictive and prescriptive models to align workforce design with company strategy
Analyze and extract relevant information from historical data to help automate and optimize key processes
Work closely with technology, business and engineering teams to drive model implementations and adoption of new solutions
Work closely with Survey Research Analysts to design surveys, execute appropriate sampling methodologies, and deliver statistically sound survey analysis
Work closely with HR Centers of Excellence and business leaders to prepare external surveys and KPIs
 
 
 
Minimum Qualifications:
 Bachelor’s degree with STEM focus required
2+ years’ related experience in technologies and practice related to analytics/insights. 
Experience working with cross-functional teams and communicating across organizations at all levels
2+ years of experience using R and/ or Python to implement decision problem solutions
1+ years of experience building and maintaining predictive and prescriptive models, to include training, scoring, and tuning when applicable
Experience developing interactive graphics/dashboards for end-users (Shiny, Power BI, Tableau) 
Understanding of large-scale data storage processing architectures (SQL, HIVE, Spark/ SparkR, etc.)
 
 
 
Preferred Experience: 
Master’s degree with STEM focus
Bachelor’s degree in organizational psychology or equivalent experience
Experience building descriptive and inferential survey analytics solutions 
1+ years of experience utilizing an analytics platform (e.g. Alteryx, Azure Databricks, etc.)
Fluency in additional programming/ scripting languages (e.g. CSS, Java, Scala)
Excellent quantitative modeling, statistical analysis skills and problem-solving skills
Proven ability to translate advanced analytical output to business partners and decision makers
Strong communication skills (written & oral)
 
 
 
#LI-NB1
 
 
 
The Hershey Company is an Equal Opportunity Employer. The policy of The Hershey Company is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's race, color, gender, age, national origin, religion, citizenship status, marital status, sexual orientation, gender identity, transgender status, physical or mental disability, protected veteran status, genetic information, pregnancy, or any other categories protected by applicable federal, state or local laws.
 
The Hershey Company is an Equal Opportunity Employer - Minority/Female/Disabled/Protected Veterans
"
Data Scientist,"Cockeysville, Maryland 21030","Looking for your next opportunity in the midst of a public health crisis can be tough. Randstad can be a partner in figuring out your next move.
Do you have experience with data modeling and visualization? We are seeking a Data Scientist to join a company in the Baltimore County, Maryland area. This is a full-time, direct-hire opportunity.
Responsibilities
In this role, the Data Scientist will be responsible for:
•Developing procedures and models which predict service management workloads, optimize resource utilization, and improve capacity•Developing insights via consumer telemetry layer, statistics, and advanced mathematics•Reviewing infrastructure and application performance data to identify, mitigate, and prevent incidents•Conducting machine learning to improve content•Collaborating with business leaders to investigate their needs and present thorough findings
Requirements
Education and experience:
•At least 3 years of experience with data migration, BI, data taxonomy, or data lake integration
Candidates should understand and have a proven track record with the following:
•Programming languages (Python, Java, Scala, Javascript)•Data visualization (Tableau, Cognos, Matplot, Kibana, DataStudio, Splunk)•Data modeling (SQL, Azure Data Lake, Spark, Hive, BigQuery, ElasticSearch)•R or similar data science tools•Advanced statistical modeling
Experience with the following is preferred:
•Artificial intelligence•Machine learning•Infrastructure monitoring•Process improvement•Consumer telemetry
Click to apply now, or for more information regarding this role, please contact Adam Daley at Adam.Daley@RandstadUSA.com.
At this time, our client is only able to consider candidates that are eligible to work for any employer in the United States without sponsorship.
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.
"
Data Scientist II,"Santa Clara, California 95050","DATA SCIENCE
PYTHON
SIGNAL PROCESSING
DEEP LEARNING
MACHINE LEARNING
DATA STRUCTURES
C++
ALGORITHMS
Develop scalable, custom signal processing, machine learning and deep learning algorithms to decode complex raw signal.
Write elegant, readable code.
Contribute in maintaining and enhancing the existing code repository.
Assist experimental groups with signal analysis and provide requested features as and when needed.
Perform deep analyses on experimental data using a variety of internal pipelines.
Collaborate with bioinformatics, statistical modeling, deep learning, and software engineering teams.
Responsible for planning and timely delivery of assigned projects.
Who you are

When you join us, you will have meaningful work being part of a team developing an innovative technology that saves and improves lives around the world. As you collaborate with some of the best engineers in the industry, you will make a huge difference on disease diagnostics! Our team is collaborative and fast-paced. And, we offer a competitive salary with a rich benefits package.
Minimum Qualifications:
PhD degree in Electrical Engineering, Biomedical Engineering, Physics or related scientific discipline.
Very strong foundation in advanced signal processing and machine learning/deep learning concepts.
Strong understanding of data structures and algorithms - including computational complexity analysis.
Very strong foundation in Data Science and analytics
Strong algorithms development skills: Python, C++
Fluency with modern software engineering practices: version control, code reviews, automated testing, etc.
Clear thinker and communicator, verbal and in-writing; collaborative attitude
"
Data Scientist,"Houston, Texas 77025","Build long-term causal estimation models using a combination of econometrics, machine learning and predictive statistics to drive thought leadership around Real Estate, Merchandizing, Pricing, and Marketing, among others.
Partner with our Data Engineering team to guide and build the data infrastructure needed to begin applying supervised and unsupervised modeling techniques to generate predictions and uncover patterns.
Develop hypothesis statements and apply statistical testing to determine causality and generalize observations
Model Assessment & Validation: Identify the model evaluation metrics and apply best practice techniques for model testing and tuning to assess accuracy, fit, validity, and robustness for multi-stage models and model ensembles.
Model Deployment & Scaling: Support efforts to ensure that analytical models and techniques used can be deployed into production. Support evaluation of the analytical model and the scalability and sustainability of analytical models.
Code Development & Testing: Write code to develop the required solution and application features by using the recommended programming language and leveraging business, technical, and data requirements. Test the code using the recommended testing approach.
Data Visualization: Generate appropriate graphical representations of data and model outcomes. Understand customer requirements to design appropriate data representation for multiple data sets.
Support the leadership team in developing long-term goals and roadmaps.
Strong background in econometrics (e.g., program evaluation, forecasting, time series, panel data, and/or high dimensional problems), economic theory, and quantitative methods.
Demonstrated understanding of financial levers related to merchandising, planning and allocation, marketing, pricing & promotions.
6+ years of applied advanced analytics, statistics and/or data science experience, using R and/or Python, to solve business problems.
Experience with price optimization and demand forecasting.
Marketing industry knowledge and previous experience in working on marketing mix modeling
Can effectively and succinctly decompose highly complex findings to non-technical audiences.
Excellent data visualization skills, able to determine the appropriate visualization for a variety of data types and create compelling stories with data.
A proven track record of leading successful projects and driving measurable, viable results using Data Science techniques.
Masters Degree or PhD. in a Data Science, Applied Mathematics, Computer Science or otherwise research-based field; 5-7 years of related experience and/or training; or equivalent combination of education and experience
"
Data Scientist,"Sunnyvale, California 94085","Required Skills:
Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.
A deep understanding of Python, CUDA, or other GPGPU is a plus.
Practical experience with deep learning-based solutions highly valued.
Passion for continuing to learn state-of-the-art techniques in ML/Data science
"
Data Scientist,"Charlotte, North Carolina","  The Data Scientist will be responsible in assessing and documenting AI (Artificial Intelligence) solutions implemented across the bank (built internally or externally)  
  Critically assess and challenge models on conceptual soundness, assumptions and limitations, data, developmental evidence in support of modeling choices, performance, implementation and documentation  
  Understand the core methodology in AI solutions and the context in which it will be deployed to find risks/gaps  
  Develop efficient methodologies to detect and to quantify risks/gaps in AI solutions  
  Suggest alternative approaches or controls to mitigate risks/gaps identified  
  Develop and implement testing plans and testing code in order to challenge models through empirical analyses and to verify model implementation  
  Create metrics to quantify risks/gaps specific to each AI solution and define thresholds after consulting with all stakeholders  
  Write technical reports for distribution and presentation to model developers, senior management, audit, and model risk management  
  Develop, remediate, and deploy machine learning models spanning Nave Bayes to Deep Learning solutions  
  Understand how AI fits into a business process and what controls can be in place  
  Identify, track, and coordinate technical requirements for successful documentation  
  Explain technical needs in non-technical terms  
  Ph.D degree in a quantitative field such as Mathematics, Physics, Finance, Engineering or Statistics  
  If not Ph.D then MS degree in a quantitative field such as Mathematics, Physics, Engineering or Statistics and at least 4 years of professional experience as a Data Scientist or related roles  
  Hands-on experience modifying Statistical Modeling/Machine Learning/Deep Learning techniques for the problem at hand is a must  
  Should be well-versed in Python and be familiar with either Tensorflow or PyTorch  
  Ability to understand and implement techniques discussed in AI research papers (academic and technical)  
  Strong technical writing skills  
  Strong communication skills and interpersonal diplomacy  
  Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)  
"
SAS Data Scientist,"Columbus, Ohio","Maxima IT Consulting India Pvt Ltd
Maxima consulting Inc. ,since 1993 has provided the highest caliber of computer Systems Design and Development Consulting services on behalf of an impressive array of America's leading Corporations. Our clients include a large component of the Fortune 500 Companies, as well as Financial Institutions and Governmental and Administrative Agencies. Our software professional services are sought for the performance of highly technical duties involving in
* Project Management
* System Design and Administration
* Financial Business Analysis Application Development
* Data Warehouse and Business Intelligence
"
Architect - Data Scientist (Sr.),"Springfield, Virginia",
Data Scientist,"Denver, Colorado 80022","Must Have Skills: Machine learning  Nice to have skills: Telecom  Detailed Job Description: Proficiency with statistical analysis tools e.g., R Python Hands on experience in Statistical Machine learning Techniques Deep Learning such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others. Also, experience in Advance Analytics i.e LSTM, RANDOM FOREST, KNN algorithm neural networks etc. Understanding of various Analytical Tools, Platform Frameworks including Cloud platform AWS, Hadoop and PYSPARK. Experience in optimization linear, mixed integer, constraint pro
 
"
Data Scientist II,"Sunnyvale, California 94085","As the world's largest staffing and recruitment agency in the world, we can commit to find you the perfect role that gives you the opportunity to learn and grow in the life sciences arena. Utilizing a recruiter for your job search gives you access to a large network of top employers as well as detailed information about hundreds of positions. A current top partnership with a  research-driven biopharmaceutical company is known as a powerhouse that aims to develop treatments for difficult-to-cure diseases. This renowned employer has created 32 products, including Humira and Lupron, that have highly impacted lives across the globe. If you're looking to stand out in your field and lead the way to innovative therapies, this position is for you! 
•With guidance and direction from the team Lead, the Contractor is expected to design and execute internal HECOR/RWE studies and hypothesis generating exploratory analyses. The specific tasks will include providing hands-on analytical support on retrospective database analyses using either insurance claim databases, patient reported outcomes, quality of life assessment surveys and other relevant data sources•Responsibility of the contractor will also include mining internally available secondary data sources for real-world business insights. This includes (not limited to) designing, developing, validating and documenting SAS programs to generate analysis datasets, analyze data and generate summary of findings for observational/RWE studies•With guidance and direction from the team lead, the contractor would also be expected to draft and review the study report documentations, study protocols, study analysis documents, excel and SAS (and/or R) data files and other documents related to the execution of internal health economics and outcomes research studies and models•Apply various statistical methods to the analysis and provide interpretation of the results•Ensure that study documentation and specifications are consistent and comply with company standards by providing input into pooled datasets, data structures, and analysis specifications for observational studies•The contractor would be expected to draft the interpretation deliverables such as study report and build a presentation of key findings for internal socialization on the analyses conducted. They may also be expected to develop abstracts and posters on those studies, if needed•The contractor would be responsible for the accuracy and reliability of results of their studies•The contractor would also be responsible for providing data transfers to vendors as specified for various studies. They may be expected to work with some vendors towards successful execution of HECOR-RWE tactics across multiple indications, if deemed necessary by the team lead•Completing other appropriate duties, as assigned by the manager, which require similar skills in accordance with business needs•This will be a full-time contracting position for a period of 12 months, with the potential to lengthen the duration per demonstrated successful performance and contingent upon continued organizational needs assessment
•Masters degree in Pharmacy Outcomes Research, Economics, Health Services Research, Bio Statistics, Epidemiology, Health Policy, Public Health or a related discipline and experience in HECOR-RWE research is required•Minimum 2 years of SAS programming experience in a biotechnology, pharmaceutical, CRO or other health care setting. Strong SAS programming skill and understanding of database structures required•Ability to use structured programming techniques in SAS is required. Ability and willingness to use and/or modify existing programs and macros is needed•Understanding of common real-world database terminology and standards is required•Understanding of research methodology used in conducting health economics and outcomes research and real-world studies is required. Prior work experience related to HECOR-RWE studies is preferred•Must possess the ability to handle multiple tasks and projects, maintain clear tracking and documentation, and manage tight project timelines•Strong verbal and written communication skills is required•Must be able to work independently as well as be a cross-functional team player, as needed
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status. Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance. We will consider for employment all qualified Applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.
"
Data Scientist,"Mclean, Virginia 22102","· Ability to implement and enhance data management (i.e., collection, cleansing, manipulation, and storage), governance and the integration of structured and unstructured data to generate insights

· Ability to leverage automation, cognitive, and science-based techniques to manage data, predict scenarios and identify actions

· Ability to ensure decision quality results by communicating analytic results clearly, and by conducting all research in a manner that will be easily reproducible

· Experience in analysis packages and programming languages such as R, SQL and SAS (and possibly Python) to manipulate data and draw insights from large data sets

· Experience creating sophisticated data visualizations using Tableau, Power BI, and Excel
"
Senior Data Scientist,"San Francisco, California 94105","Please call me at 510-962-9661 or send me your updated resume at amit.kumar@radiansys.com.
                     
Role: Data Scientist/ML Engineer
Location: San Francisco, CA
Duration: Full TIME
 
Responsibilities:
Design, develop, train, evaluate, tune and support machine learning models for time series analysis, demand forecasting, customer intelligence, recommendation systems, optimization, NLP and image analytics.
Design, implement and support scalable jobs and services for data cleaning, preprocessing, aggregation for model training and model inference data pipelines.
Analyze existing and discover new data sources, perform feature engineering and feature selection
Contribute to the analysis of the business requirements, architecture development and implementation planning
Contribute to the presentation of teams results
Learn & stay current on developments in one or more analytics domains: Optimization, Machine Learning, Deep Learning / AI, Simulation, etc.
Build upon and utilize Amazon Cloud Services and Tools
Requirements:
Good communication and presentation skills
Solid mathematical & computer science background
Relevant software engineering background: VCS(git), CICD, containers (Docker), SQL, agile development practices
Familiarity with data engineering and devOps is a plus
Proficiency and practical experience with Python and Python-based ML ecosystem, good coding skills
Proficiency and practical experience with cloud native software architectures, familiarity with AWS ecosystem: Sagemaker, Redshift, Aurora, Redis, EMR, SNS, SQS, DocDB, Cloudwatch, Step Functions, etc...
Strong practical knowledge of classic ML algorithms and experience with modeling tools like scikit-learn, statsmodels, lightgbm, hyperopt
Familiarity with and understanding of time series modeling, response modeling, lift modeling, survival analytics, look-alike modeling, statistical modeling. Ability to quickly ramp up to state-of-the-art in corresponding fields.
Deep learning knowledge and practical experience is a plus (TF, Pytorch, MLPs, RNNs, CNNs, Transformers, etc..)
Experience with NLP and image analytics is a plus
Experience with recommendation systems (collaborative filtering, content filtering, session-based recommenders is a plus)
Experience with retail, online commerce or similar B2C business domain is a plus
Experience in working across different global cultures is a plus
 
 
 
 
"
Sr. Data Scientist,"Norco, California","VSolvit is seeking a detail-oriented Tableau Data Visualization Expert to support analytic and reporting solutions for the Navy Surface Warfare Center (Corona) team using Tableau. The selected candidate will be working closely with a variety of developers to design, develop, and implement Tableau data models and Tableau dashboards enabling Navy commands to analyze data and make better decisions. The candidate will be expected to have a depth of understanding of Tableaus capabilities to solve advanced visualization challenges.  The candidate is also expected to work with closely with the data team to architect data schemas and table design to maximize performance and reduce query times. 
The selected candidate will also serve as a trainer and mentor to other developers, helping them become proficient in Tableau visualizations.  This person will possess an intellectual curiosity and passion about data, visualization and solving business problems as well as be an experienced storyteller capable of delivering creative design and interactive data visualizations. 
The ideal candidate comes from a rapid development environment, publishing numerous dashboards, and managing multiple competing priorities and assignments. The candidate is expected to be current on modern BI technologies and have strong project management skills
 Responsibilities 
Work effectively with a broad range of users to interpret their needs and document User Stories.
Invent creative and innovative ways to answer key questions by leveraging existing data assets or creating new ones.
Design and implement proof of concept solutions and create advanced Tableau visualizations using action filters, user filters, advanced navigation techniques and Level-of-Detail (LOD) expressions.
Advanced Tableau development including Tableau data model creation, customize dimensions, advanced calculations, and interactive dashboards.
Performance tuning of Tableau Server dashboards to minimize the data and rendering refresh cycles and optimize the end user experience
Enable and improve Tableau Natural Language Processing to empower users to ask probing and complex data questions.
Drives innovation and creative interfaces for a visually appealing and intuitive user interface and experience.
Keeps abreast of current trends related to Tableau and other BI technologies
Drive effective teamwork, communication, and collaboration to achieve results
Develop a strong understanding of the business, strategic direction, organizational structure, and overall organizational goals
Promotes a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes.
 Basic Qualifications 
Bachelor’s Degree in a computer science related discipline with 10+ years of work experience in quantitative analysis and data visualization.
U.S. Citizen
Must possess a DoD Secret Security clearance or be able to obtain one. 
8+ years of hands on experience developing Tableau dashboards using complex relational and multi-dimensional data sources like Oracle Data Lake, Data Warehouse, Teradata, Hadoop, or Hyperion Essbase.
8+ years of experience with End-to-End Tableau Designer expertise from Tableau data model publication, interactive dashboard design/development to deployment/maintenance. Hands-on skills with use of action filters, user filters, advanced navigation techniques, Level-of-Detail (LOD) expressions.
8+ years of experience in Tableau development including Tableau data model creation, customize dimensions, advanced calculations, and interactive dashboards.
8+ years of experience tuning the performance of Tableau Server dashboards to minimize the data and rendering refresh cycles and optimize the end user experience
8+ years of experience working with data warehouse concepts along with knowledge of SQL to write complex, highly optimized queries across large volumes of data
8+ years of experience of project management using agile methodology including ability to prioritize, meet deadlines and follow through on completion of high-profile projects
 
 Preferred Qualifications 
10+ years of Tableau Experience
Experience implementing Tableau Natural Language Query features
Current DoD Secret Security Clearance 
Critical thinking and problem-solving skills
Strong verbal and written communication skills
 
Company Summary:
Join the VSolvit Team! Founded in 2006, VSolvit (pronounced 'We Solve It') provides geospatial and information technology consulting services and solutions to government and private section clients. VSolvit is an award winning 8(m)/EDWOSB, SBA-certified 8(a)/SDB, and a certified HUBZone company. Our successes are but a reflection of overall team strength and supportive partnerships. Our company fosters innovation which makes it a great place for entrepreneurs and hard workers to be grown. We offer Medical, Dental, and Vision Insurance, as well as 401K Retirement Plan options, Tuition Reimbursement, and other benefits. Our goal is to grow together and enjoy the work that we do as a team.
 
VSolvit LLC is an Equal Opportunity/Affirmative Action employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status.
"
"Manager, Data Science","Las Vegas, Nevada",
Manager Data Science,"Denton, Texas","Sally Beauty Holdings (NYSE: SBH) is the world’s largest wholesale and retail distributor of beauty supplies located in Denton Texas. A business built with a purpose to provide our customers with access to high-quality professional beauty products and exceptional customer service.
The ideal candidate will have strong analytical and problem-solving skills coupled with deep experience working with data in a variety of formats. An excellent verbal and written communicator who will work closely with business stakeholders ensuring the delivery of the highest quality.
“At Sally Beauty Holdings, we find beauty in diversity.  Our inclusivity and self-expression are what fuel our innovation and growth. You are welcome here, and you can thrive here. We find beauty in YOU. Join us.”
Engage with business teams to find opportunities, understand requirements, and translate those requirements into technical solutions
Design data science approach, applying tried-and-true techniques or developing custom algorithms as needed by the business problem
Collaborate with data engineers and platform architects to implement robust production real-time and batch decisioning solutions
Ensure operational and business metric health by monitoring production decision points
Investigate adversarial trends, identify behavior patterns, and respond with agile logic changes
Communicate results of analyses to business partners and executives
Research new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team
Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation
Flex your interpersonal skills to translate the complexity of your work into tangible business goals
Practical experience with and theoretical understanding of algorithms for classification regression, clustering, and anomaly detection
Familiarity with database modeling and data warehousing principles and SQL.
Familiarity with Big Data tools like Spark, Hive etc.
Strong programming skills in R, Python, or similar language
Ability to extract meaningful business insights from data and identify the stories behind the patterns
Creativity to engineer novel features and signals, and to push beyond current tools and approaches
Excellent presentation skills, distilling complex analysis and concepts into concise business-focused takeaways
We offer a competitive salary and outstanding benefits package that includes medical, dental, vision, life Insurance, paid vacation and sick days, paid holidays, tuition reimbursement and 401(k) with company match. In addition, associates of Sally Beauty may take advantage of our in house salon with complimentary services, an onsite Sally Beauty Store with 30% merchandise discount, an onsite CosmoProf store with a 20% merchandise discount and a gourmet cafe. 
Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, or disability.
#LI-SC1
#CB
"
Data Scientist,"Boston, Massachusetts 02210","Fidelity Talent Source is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for a senior data scientist and/or full stack machine learning engineer to work at Fidelity in Boston, MA.
We are looking for engineers with strong backgrounds in computer science/engineering to build and support complex, scalable AI frameworks, models, tools and APIs for a variety of Artificial Intelligence initiatives across the firm.
The individual will engage in high profile data science and artificial intelligence projects working closely with multiple business units to define and implement next generation AI-based production solutions. Candidate must be comfortable in a fast-paced, unpredictable and sometimes ambiguous environment working with current and emerging AI technologies.
This is a multi-disciplinary role requiring both expert model-building and software engineering skills, so the successful candidate will be capable of developing and supporting core, reusable AI capabilities across many areas, and must have a proven record of providing thought leadership on end-to-end AI/machine learning pipelines and related components for other data science associates.
PhD or MS in Computer Science, Physics, Engineering, Information Technology, Applied Mathematics, or related fields with, preferably, 5-7 years of experience prototyping and deploying Machine/Deep Learning solutions into production environments.
Hands-on experience with one or more of the following: Deep learning/neural network architectures, reinforcement learning, generative modeling, conversational AI, virtual assistants, automated speech recognition, unstructured text pipelines/modeling, anomaly detection, text summarization, classification, especially with NL/NLU/NLGP-related language models and encoders, e.g., Word2Vec, Glove, Bi-LSTMs, Attention Models, BERT, ALBERT, DeepCT, etc.
Expertise with deep learning frameworks/tools such as TensorFlow, PyTorch/PyCharm, Keras, MXNET, and/or H2O
Fluent in data science programming languages such as Python, R and at least one other programming language, e.g., C/C++, Scala, Julia, Java, Go, especially on GPU. CUDA experience a plus.
Engineering expertise for building production ML/DL model containers and pipelines at scale, specifically with Kubernetes, Docker, and big data technologies, AWS-related experience a plus, e.g., SageMaker, EKS, S3, SQS, Kinesis, Snowflake, shell scripting, etc.
In-depth knowledge of software/engineering lifecycle and principles (source control/git, debugging, testing, Jenkins, deployment, model retraining, CI/CD).
A passion for clean, reusable, object-oriented and/or functional software design principles.
Full stack development and an understanding of Reach design principles/components a plus.
Micro Service/API/API gateway, HTML, ES6, SQLAlchemy, and CSS development experience a plus
At Fidelity, you can find it all here. We reward ambitious, passionate individuals with a work environment that fosters diversity, teamwork and collaboration as well as encourages innovative ideas and fresh thinking. We recognize the value that employees’ individual differences can contribute to the bright and strong future of our company.
Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skillset and developing your professional network, consider a role with Fidelity TalentSource.
For information about working at Fidelity TalentSource, visit FTSJobs.com.

Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skill set and developing your professional network, consider a role with Fidelity TalentSource. For information about working at Fidelity TalentSource, visit FTSJobs.com.

At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit FidelityCareers.com.
Fidelity Investments and Fidelity TalentSource are equal opportunity employers.​
"
REMOTE Data Scientist,"Durham, North Carolina 27707",
DATA SCIENTIST,"PITTSBURGH, Pennsylvania 15220","DATA SCIENTIST
Highmark Health seeks Data Scientist in Pittsburgh, PA to develop, coordinate, & manage analytics, models, health outcome studies & rltd forecasting, as well as actual results analysis rltd to portfolio of activities focused on operating margin imprvmnts.
Apply at https://careers.highmarkhealth.org, using keyword J165556.
"
Data Scientist/Chemometrician,"Richardson, Texas"," YOU MUST HAVE
MS in Computer Science, Engineering, Applied Mathematics or related field Data processing focused advanced degrees in natural sciences are applicable (e.g. Analytical Chemist MS / Ph.D. focused on chemometric methods)At least 2+ years practical experience in machine learning algorithm development within novel sensors/instruments that produce multi-dimensional data – key areas of interest are computer vision systems, multi-dimension chemical instrument data processing & sensor data fusion. At least 3+ years of experience programming in Python, R, Scala or JavaExcellent data science skills, including a strong understanding of the statistics, probability, and algorithms that enable you to quickly come up with solutions that combine multiple information streamsStrong desire to understand and the transduction mechanism of novel sensing systems and subsequently work within a team of like-minded engineers & scientists to develop tailored ML-based data treatment methods Experience working with remote and global teamsAbility to stay abreast of current and emerging technologies in support of new concept developmentResult-driven, positive “can-do” attitudeWE VALUE
 PhD degree in Computer Science, Engineering, Applied Mathematics or related field.A strong understanding of big data concepts and knowledge of big data languages/toolsExperience with database management systems, data platforms (e.g. Streaming Data Platform, Kafka, Logstash, Teradata, Hadoop, etc.), and data formats (e.g. SQL, NoSQL, AWS S3, JSON, Redis, neo4j, etc.) for efficient ML feature extraction and data transformations.Ability to work collaboratively with development/implementation staff through the design and build of new business processes and systems.
JOB ID: HRD102997
Category: Engineering
Location: 830 E Arapaho Rd,Richardson,Texas,75081,United States
Exempt

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.
"
