,Title,Location,Description
24,Epidemiologist / Health data scientist,Oxford,"You will work with statisticians and computer scientists to associate novel phenotypes, derived from wearable sensor time-series data, with clinical outcomes."
25,Data Scientist,Hinxton,We are approximately half way through this project and are looking for someone to join the team to help us analyse cancer DNA sequence data from Work Package 1…
26,Epidemiology Data Scientist,London,"Knowledge of principles and practice of surveillance, including data management, data transmission, data security, data quality, data analysis including…"
27,Postdoctoral Data Scientist,Oxford OX3 7LF,"You will carry out data processing, integration, analysis, presentation and interpretation of multi-omic and clinical data as well as develop informatics…"
28,Chief Data Scientist,London,Able to communicate and lead a technical team of data scientists and provide thought leadership on breadth and depth of ML techniques and technologies.
29,Data Scientist,London,"Experience with data scripting languages (e.g. SQL, Python, R etc.).Excellent verbal/written communication & data presentation skills, including an ability to…"
30,Commercial Data Scientist,London,"This will mean using big data and data science, and the rest of your technical data skills and knowledge, to develop and implement appropriate models and…"
31,"Newton, Data Scientist",London,"Providing key input to continued development and research efforts in the area of investment themes, the data scientist will provide analytical expertise and…"
32,Data Scientist – AI/ML Quant,London,The primary focus of this role will be to make a significant contribution in the research and development of Argus’ Automatic Machine Learning (ML) and…
33,Graduates - Actuarial and Data Science,Bristol,Graduates – actuarial and data science.Identifying new data sources suitable for analysis and implementation.Employment Type - Full Time - Permanent.
34,Data Scientist,Birmingham,"Mines and analysis big data sets, leveraging data science skills and techniques to deliver business benefit.Techniques. You will mine and analyse big data sets…"
35,Data Scientist,London,At least two years experience as data scientist.Proficiency with SQL and data wrangling.Proficiency with data visualization and business storytelling.
36,AI/ML - Machine Learning Internship,Cambridge,"As part of Apple's Machine Learning and AI team, we transform every Apple product and because we fully integrate hardware and software, we can collaborate to…"
37,Senior Statistical Data Scientist - across the GSS,London,"Additional examples might include supervised / unsupervised machine learning for complex data sets, or Natural Language Processing to structure data for…"
38,Graduate Data Scientist,London,"Working to expand the frontiers of the Worldpanel Plus service by testing new analytical ideas, creating more intelligent methods of data processing and…"
39,Data Scientist,London,"You will also support other data scientists by knowledge sharing, code review, collaboration on common utilities and analytical infrastructure."
40,Football Data Scientist,London,Analysing large quantities of football data.Involved in scraping and collection of data.Have example football related data science/analytics side projects to…
41,Insights Data Scientist,London,"Job Overview Expiration date: 31st July 2020 Location: London Job Title: Insights Data Scientist Salary: £45,000 - £60…"
42,Insights Data Scientist - Maternity Cover,London,"You will work with stakeholders from Product, Commercial or Marketing teams as well as other data scientists and analysts.Deep dives into our AI products."
43,Data Scientist,London,"A strong background in leveraging data science techniques to solve commercial business problems, specifically in relation to customer marketing and pricing."
44,2021 UK Graduate Data Scientist,London,Designing and implementing data ETL processes.Presenting information using data visualisation techniques.Applying AI and advanced analytics to large data sets…
45,Data Scientist,London,A chance to use working for a retailers on a number of NLP focused projects using Python.They are looking for a motivated individual who enjoys working in a…
46,Data Analytics Statistician/Data Scientist,Hazelwood DE56 4AN,Collaborate and consult with data scientists and subject-area experts on statistics and data analytics problems.Highly skilled in R or Python.
47,Data Scientist,Windsor,Solid understanding of data structures and common methods in data transformation.We are embarking on a major transformation to become more data driven and we…
48,"Data Scientist, Consulting, EY, Belfast",Belfast,"Used a data visualisation technology, like Tableau, Power BI or Qlik.Worked with open source data science libraries and understand how to apply them to various…"
49,"Data Scientist, Machine Learning",London,Explore. We use BigQuery and Jupyter Notebooks to analyse data and design machine learning models for offline evaluation.
50,Data Scientist,Edinburgh EH1 3LY,Experience in presenting data driven decisions to non-technical people.You will have proven experience using both labelled and unlabelled data to build models.
51,Geospatial Data Scientist,Reading,"Effective communication of data and its meaning through visualisation, including data visualisation software (e.g. Tableau) and libraries (e.g. Python/R and…"
52,Data Scientist/Engineer Internship 2021,Reading,"In this role, you will be developing and maintaining minimal viable prototypes to scalable data pipelines that will ingest, transform and distribute numerous…"
53,Data Scientist,London,"Ability to track down complex data quality and data integration issues, evaluate different algorithmic approaches, and analyze data to solve problems."
54,Data Scientist - Causal Inference,London,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…
55,Data Science Intern,London,"Lead the entire life-cycle of a cutting edge AI/ML project.Create and execute a presentation for your project, to be delivered in front of the tech team."
56,Data Scientist,London,1.Data Scientist - Time series: Python.Predictive Analytics and maintenance.
57,Data Scientist,Glasgow G2 6QQ,"Expert in mining large and complex data sets - both structured and unstructured extraction of data, transformation and application."
58,Data Scientist - Simulations Chapter,London,"Experience analysing large volumes of data and panel-based data.Exploratory data analysis, hypothesis testing, data preparation, and product prototyping based…"
59,"Data Scientist, Operations",London,"90% of everyday data-driven decisions are covered by self-serve analytics through Looker, which gives data scientists the head space to focus on more impactful…"
60,"Data Scientist, Product",London,"Building key data sets to empower operational and exploratory analysis.Apply your expertise in quantitative analysis, data mining, and the presentation of data…"
61,Customer Analytics Data Scientist,London,"Propose data science problem solving approaches.Prototype, test and improve new data science models.Strong technical expertise in data science, statistical…"
62,DATA SCIENCE CONSULTANT LONDON,London,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …"
63,Data Science Engineer,Nottingham,"By harnessing data and modelling techniques, you will build customer-centric digital solutions that help optimise and improve decision making."
64,Data Scientist - Applied Science,London W12 8EJ,This is a full-time placement with significant opportunities for personal development.Prototyping applied research that goes into the product.
65,Data Science Graduate,Leeds LS11 5AD,"Working with open-source technologies like R and Python, you'll form part of a growing data community whose aim is to encourage the practice of objective data…"
66,"Visiting Scientist, Core Data Science",London,"Experience doing empirical research using data analysis tools such as R or Python, with packages such as NumPy, SciPy, pandas, scikit-learn, tidyverse etc."
67,Data Scientist,Bristol,Excited by using massive amounts of data to create sophisticated security analytics?You will enhance real-time proactive and preemptive systems using data…
68,Data Scientist - Machine Learning,London,Processing and modelling large data sets.Experience applying ML algorithms to real world data.Practical experience of handling large diverse data sets.
69,Data Scientist,London,"You’ll work closely with our Data Scientist, User Acquisition Manager and Product Marketing Manager, to provide the analytics required to make this happen."
70,Remote Data Scientist - Healthcare,Bristol,"A background handling sensitive clinical data.They're looking for a remote Data Scientist in the UK, with the following background:"
71,Data Scientist – Dimensions,London,You can translate customer needs into feasible data analytics approaches.Demonstrable experience with data analytics on large (>10E8) datasets.
72,"BMW Plant Hams Hall, Birmingham - Quality Data Scientist - 1...",Hall,"Working with large data sets on big data platforms (e.g Hadoop, AWS, Spark).Experience with Excel and data visualisation tools, preferably PowerBI."
73,Graduate Data Scientist (Cardiff-based International Analyti...,Cardiff CF10 2EH,"Educate other divisions and countries on best practices in data science.Remain up to date with trends in data science, proactively researching new skills and…"
74,"Data Scientist (Gaming, Python, R)",Edinburgh,As Data Scientist you will be working closely with the Engineering and Research team to create and build tools to support decision making across all areas of…
75,Computational Biologist / Data Scientist,Glasgow,"B1. Excellent data analysis and research skills.D2. Experience of working with virus data sets.C10. Experience with genomics, phylogenetics and evolutionary…"
76,Data Scientist,London,Knowledge of SQL for accessing and processing data.Data engineering - Understanding of data manipulation/wrangling techniques.Experience using Python or R.
77,Data Scientist - Consulting Practice,London,Analysed live audio data to create individual sound zones.Data Architects - We’re experts in uncovering the real story buried in data.
78,Applied Data Scientist,Cambridge,"Working with poor, noisy and/or limited data.As Applied Data Scientist you will develop world class models to optimise mining processes through our customer…"
79,Data Scientist,London,At least 2 years’ experience with data manipulation and ML.You will play a pivotal role in the team delivering data-driven results and insights to improve the…
80,Pricing Data Scientist,London EC3V,Demonstrable experience working as a pricing analyst or data scientist (or similar).We are looking for a Data Scientist to work on innovative Pricing…
81,Data Scientist,Peterborough,"Collaborating closely with Pricing, Marketing, Capacity, and Digital teams to identify new data sources to optimise our capability."
82,"Research Scientist, Natural Language Processing (PhD)",London,"Our research spans multiple areas across NLP and machine learning, including deep learning/neural networks, machine translation, natural language understanding…"
83,Data Scientist,Staines-upon-Thames,A good knowledge of analytics industry trends and data manipulation techniques.Have a passion for using data to tell stories and help customers solve high…
84,ETF Capital Markets Data Scientist,London,"We are looking for someone with a keen interest in financial markets, experience in assessing large data sets and presenting information using data…"
85,NLP Data Scientist,London,You'll be working on various client projects using Natural Language Processing techniques to really understand what the customer is looking for from their…
86,Data Science Intern,London,"Being a key point of contact for a wide array of data providers and internal consumers of data.Strong analytical capability, with a demonstrable interest in…"
87,"Data Scientist, Reliability Analytics",London,"Experience in working with large scale data systems for acquisition, storage, and management of complex data flow."
88,Internship opportunities: Machine Learning for Visual Commun...,Reading,You will build and evaluate machine learning models and algorithms to solve real-world problems.You will be working closely with leading machine learning…
89,Data Scientist - NLP,London,"Work on a range of NLP topics to help understand social media data, and sentiment of users.Harnham are currently working with a start-up in London who are…"
90,Chief Data Scientist - Outside IR35,London,Client facing role working on data-science solutions.We are currently recruiting for a AI driven data science start up that is working with retailers to help…
91,Data Scientist,London,"Experience in a commercial data science environment.Ability to work with data owners and cross-functional teams.(such as Git, JIRA etc)."
92,Principle Healthcare Informatic Data Scientists,Cambridge CB2 8PA,"Expertise with clinical data standards, medical terminologies and controlled vocabularies used in healthcare data and ontologies."
93,"Experienced Professional Data Scientist GB, Swindon Permanen...",Swindon,"Knowledge of data mining and data cleaning techniques.Processing data (price, trade and fundamental data),.Experience using data visualisation tools (Plotly,…"
94,Data Scientist,London,The team consists of 11 experienced data scientists; and 15 pricing actuaries and pricing managers.An understanding of good data visualisation principles.
95,Senior Data Analyst/Scientist,Paddington,"Manage relationships with our Big Data team, shaping our customer data strategy and productionising customer data models for ongoing stability & efficiency."
96,Senior Data Scientist,Cambridge CB4 0FY,Strong academic background in a data science domain.Experience in data visualization interfaces (PowerBI/Tableau).
97,Data and Analytics - Internship Programme,London,"And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
98,Senior Data Scientist,Slough,"Collaborating as required with equivalent data scientists in Group to build next generation models to power Aura in the UK, our artificial intelligence system,…"
99,MINI Plant Oxford - Data Scientist - 13 Month Placement (Jul...,Oxford,"Knowledge of data analysis and data mining techniques, and experience implementing them in code.Each year we offer a number of internship opportunities and are…"
100,NLP / Natural Language Processing Data Scientist,London,"Machine Learning application to NLP / Natural Language Processing problems using NLP to classify English text, learn, process and respond using; Computational…"
101,Grade 7 - Senior Data Scientist,London,"Knowledge and experience of data privacy and ethical considerations when applying data science.Using your experience and expertise, you will have the…"
102,Senior Data Scientist,London,Ability to analyze data for a major production company.Has a strong understanding on the anlytical software platforms that not only harvest data but can…
103,Machine Learning Intern,Staines-upon-Thames,It is expected that the successful applicant will currently be studying for a Master’s level degree or a doctorate in Computer Science or a related subject.
104,Junior Data Science Consultant (4 months approx.),Altrincham,Experienced with making sense of noisy data.Extremely large-scale data sets describing personal mobility.Delivering impact in the smart-city space.
105,Marketing Data Scientist - Placement Year (Start: July 2021),Reading RG6 1PT,"Desire to work in a marketing data environment, and using data to drive marketing.Strong aptitude for understanding and analyzing large amounts of data from…"
106,Data Scientist,Dorking,Demonstrates ability to create logical data models by combining data from multiple sources including internal and external data.
107,Data Scientist - London,London,Data validation: verifying the first party data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get…
108,Junior Data Scientist - Home based,England,Experience of data validation and data interpretation.Liaise with customers to understand requirements and help them with data interpretation.
109,Curious Data Scientists,London,"Research and/or development experience in working with large data sets.Experience working with SQL and No-SQL databases, data visualization technologies and…"
110,Data Scientist,London,"A proficiency in using Python is required and a keenness to develop your skills/knowledge within a team environment, contributing to an innovative games company…"
111,Data Scientist,London,"Work with stakeholders throughout the business to encourage a data-driven approach through the delivery of automated data products and accessible, actionable…"
112,"Senior Data Scientist, algorithm development",London,Data Scientist required for a hands-on senior role analysing data and developing algorithms that will take real world instrumentation data and apply Machine…
113,Research Intern (AI) - London,London,"Devise data-driven models of human behaviour.Ability to manipulate and analyse large scale, high-dimensionality data from varying sources."
114,"Senior Data Scientist - Customer Care, Workforce Management",London,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…
115,Data Scientist,Glasgow,E8 Track record in the writing software for data processing and analysis.Knowledge and Skills Essential C1 Excellent data analysis and research skills.
116,Machine Learning Data Engineer,Matlock DE4,Research and implementation of data analytics.Basic Knowledge with GOM and its data output.The Associate will research and develop robust algorithms for data…
117,Machine Learning Researcher,Oxford,Deep Planet is looking for a Machine Learning Researcher with Computer Vision experience.This role is remote or based in Oxford UK.
118,"Data Scientist (Independent Gaming, Python)",London,The company is based in Central London and has a sociable feel with retro games set up around the office (currently working remotely).
119,Data Sciences & AI Graduate Programme - UK,Cambridge CB4 0FZ,Experience in using multiple data-centric programming languages to enable big data analysis (e.g. Python).The programme’s variety and flexibility provides you…
120,Data Scientist (Motor Insurance Pricing),London,Be on top of claims data and reporting.Negotiate pricing changes with our insurers and use data to make recommendations.Head of Data & Pricing Analytics.
121,Data Scientist - FaaS Live Panel,London,"Experience analyzing large volumes of data.Exploratory data analysis, hypothesis testing, data preparation, and product prototyping based on modern statistical…"
122,2021 Graduate Consultant,London,"Carrying out research, data collection and analysis.You will creatively apply data science approaches to develop analytic results which turn data into…"
123,International Data Scientist,Cardiff CF10 2EH,Advise other data divisions on best practices in data science.Industry experience in data science is an advantage.MSc / PhD in a quantitative discipline.
124,Data Scientist - London,London,"Understanding of relational data structures and SQL.Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while…"
125,Data Engineer / Scientist – Python (AVP),London,Work closely with data scientist to build data pipeline for structured and unstructured data.Work with partners including the Software and Data teams to assist…
126,Applied Scientist (remote),London,"Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.)."
127,Junior Machine Learning Engineer - London,London,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
128,Senior Data Scientist,London,"You will also support other data scientists by knowledge sharing, code review, collaboration on common utilities and analytical infrastructure."
129,Data Scientist,Cambridge,Collaborate with data engineering teams to build model deployments and data pipelines.Build tools and data services to enable data-driven decision making.
130,Principal Scientist in data driven drug discovery,Oxford,"As our new Principal scientist in statistical genomics, you will join the Department of Genetics to lead projects focusing on integrating human genetics data…"
131,Data Science & Analytics Internships,London,BPU stands for Business Performance Units and they are data driven teams who support the day to day functioning of our titles.
132,Post-Doctoral Fellow – Ecosystem Modeller/Data Scientist,Aberdeen,Collaborative research with experimental scientists and technical support.Experience with/knowledge of GIS software for data manipulation and extraction.
133,Data Scientist - Demand Forecasting,Walsall,You may be an established data scientist with strong data & analytical skills and working knowledge of relational databases and ETL.
134,Junior Data Scientist - London,London,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
135,Data Scientist,Brentford,Ability communicating complex data science concepts.Communicating complex data science concepts to business stakeholders.
136,Data Scientist - AI/Machine Learning,Kingston upon Hull,"You will be familiar with Design Thinking, Statistics, building Supervised and Unsupervised machine learning models, and data cleansing techniques using various…"
137,Machine Learning SME,Northampton NN4 7SG,"Hands-on query tuning, optimization and rewriting to fetch humongous amount of data.Requirement study for arriving at set of data attributes/elements for Model…"
138,Data Scientist,London,"Good knowledge of data structures, data modelling and software architecture.This data is stored, analysed and labelled on the AWS cloud."
139,Senior Data Scientist,London EC2A,"Help build the platform by designing and productising machine learning models.Adhere to good coding practices, use git and use test driven development."
140,Data Scientist Forensics (happy to talk flexible working),London,"Knowledge of data query and programming languages, such as SQL, Python.Uses interactive visualisation tools such as Tableau to present and explore data…"
141,Sr. Data Scientist - ML Labs,London,Strong communication and data presentation skills.Analyze and extract relevant information from large amounts of historical data to help automate and optimize…
142,Data Scientist (Fixed Term),Derby,This is a unique opportunity for a candidate with a strong background in data science and ideally engineering to develop innovative analytics solutions to…
143,Data Analytics Intern,London,"Use a range of analytical and statistical techniques to answer questions using data.Use analytical skills and business acumen to source, analyse and visualise…"
144,Data Scientist - London / Paris,London,Collaborate with data engineering teams to build model deployments and data pipelines.Build tools and data services to enable data-driven decision making.
145,Machine Learning Scientist,Warrington,"Key techniques are anticipated to include data classification, clustering, dimensionality reduction, and image recognition."
146,Data Scientist - Insights,Exeter EX1 3LH,"As a commercially experienced data scientist, you will play a key role in creating actionable data insights for stakeholders to maximise the impact of the data…"
147,Data Scientist - Machine Learning Research for Cybersecurity...,Cardiff,To aggregate data and pre-process data.Proven experience of practical machine learning and data science.Knowledge and practical experience of machine learning…
148,Lead Data Scientist,Cardiff CF10 2EH,"Through experience it has become apparent that there is a material value to be gained from increasing data science capacity within the team, but also from…"
149,Lead Data Scientist,Belfast,"Significant experience in cleansing, filtering and re-factoring complex data from different sources (including non-traditional data sources)."
150,Data Scientist,Bristol,"Experience in data mining & manipulation.Take lead in a variety of projects, including in the build of statistical and machine learning models."
151,Machine Learning Data Scientist,Cambridge,You have a strong track record as an experienced ML data scientist to solve complex problems using AI.We are looking for a highly motivated data scientist with…
152,Senior Data Scientist,Manchester,"Experience in an analytical, research or data-led role.You will use analytical and statistical tools to deliver value to the business and draw conclusions from…"
153,Graduate- Data Science- London,London EC1V 1NS,"; implementation experience of MapReduce techniques, in-memory data processing, etc.You will use and manipulate large data sets to design algorithmic and…"
154,Senior Data Scientist (Statistical Modeller),Leeds,"If you've worked with consumer insight data, even better.Direct experience building a variety of statistical models from complex, specialised or large data…"
155,Applied Research Scientist / Research Engineer,Glasgow,"The Chief Technology Office oversees enabling components inclusive of the top quality engineering and architecture tools and practices, key program management…"
156,Data Scientist,Charlbury,Present information using data visualisation techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.
157,Machine Learning Engineer,Staines-upon-Thames,The AI team at Samsung Research UK is looking for exceptional AI and ML experts to join the growing team in Staines-upon-Thames.
158,Senior Data Scientist - Algorithms,London,"We are looking for a senior data scientist from an algorithms background, to build intelligent decision making machines.Optimise consumer and rider fees."
159,"R Programmer & Data Scientist - Sofia, Bulgaria",London,Experience in producing data visualisations to communicate analysis results.Develop and document data science methods and algorithms.
160,Senior Data Scientist,London,"Using your own expertise to come up with innovative solutions to solve potential problems on the data that is gathered.£55,000 - £60,000 + BENEFITS + BONUS."
161,Bioinformatics Data Scientist,London,"A PhD in a quantitative discipline such as Statistical Genetics, Mathematics, Physics or similar or equivalent work experience -Familiar with a wide range…"
162,2021 Applied AI & Machine Learning - Off-Cycle Internship (L...,London,"Knowledge of machine learning / data science theory, techniques and tools.Experience with big-data technologies such as Hadoop, Tensorflow, Spark, SparkML, et…"
163,Customer Analytics Data Scientist - Senior Associate,London,"Propose data science problem solving approaches.Prototype, test and improve new data science models.Strong technical expertise in data science, statistical…"
164,System Administrator: Secure Data Science Institute Administ...,Lancaster,"We have an exciting opportunity at Lancaster University to appoint an applicant to work in creating a Secure Data Science Institute infrastructure on premise,…"
165,"Core Data Science, PhD Intern (London 2021)",London,"Think creatively, proactively, and futuristically to identify new opportunities within Facebook's long term roadmap for data-scientific contributions."
166,Data Scientist (Python),Oxford,As a Data Scientist you will be collaborating with various teams for building and developing machine learning and statistical algorithms to analyse data.
167,Machine Learning Engineer Ref. 2148,London,"Act as a software engineering subject matter expert within the data science community, assisting the development of others and providing guidance and specialist…"
168,Data Scientist,West End,"Experience with marketing technology and analysing website data - i.e. data from Google Analytics 360, Tealium, or Omniture/Adobe Analytics."
169,Data Scientist,Bolton,"As a senior data scientist within the exciting, new claims advanced analytics capability, you will be building end to end data science solutions to solve some…"
170,Senior Data Scientist - Marketing / Growth,London,"Own the build out of Cuvva’s marketing data analysis stack including data pipeline, tagging and attribution modelling.Head of Data & Pricing Analytics."
171,Principle Data Scientist,Cambridge CB2 8PA,"High proficiency in exploratory data analysis, data profiling and feature engineering on large, structured and unstructured datasets."
172,Data Scientist,Oxford,"You will be a highly experienced data scientist, with a strong academic background in statistics.Excellent knowledge of experimental design, data manipulation…"
173,Data Scientist / ML Engineer,London,Ability to analyse big data sets coming from heterogeneous producers both in real time and offline.Apply complex algorithms producing readable reports using BI…
174,2021 Summer Internship - Consulting,London,You will creatively apply data science approaches to develop analytic results which turn data into information - information into knowledge and insights - and…
175,Data Scientist,London,Excellent experience in data wrangling.Solid experience in using tools to extract data.Identify key issues from a mass of data.
176,Data Scientist,London,"The ability to spot opportunities within data and act on them.I’m on the hunt for a Data Scientist eager to join a passionate data team, working with vast data…"
177,Data Scientist,London,Understanding of the interaction of alternate technologies with incumbent technology (looking for industry / technology awareness).
178,Principal Data Scientist,London EC1V 4EX,Good data manipulation skills required including cleaning and managing data;Experience with data visualization tools and packages.
179,Data Scientist,Cambridge,"You will be able to cover the entire Data Science and Machine Learning life cycle, from exploration through to deployment."
180,Data Science Intern (Summer 2021),London,"Hands on in your approach to understanding data and learning about new fields.Undergraduate or Masters Student studying computer science, data science student…"
181,Machine Learning Intern (10x Team),Hatfield,You will be required to obtain and interpret data from various sources and create products for internal and external consumption.
182,Data Science Professional,Birmingham,"Be confident extracting and manipulating data from various data stores.Mines and analysis big data sets, leveraging data science skills and techniques to…"
183,Genomic Data Scientist,Stevenage SG1,"Participate in project teams of GSK scientists and external collaborators to develop novel genetic data analyses, providing and following best practices of…"
184,Senior Data Scientist,Cheadle,In this role you will have a unique opportunity to leverage your experience and technical expertise to help shape decision making throughout Marketing and the…
185,Applied Scientist - NLP,Cambridge,"To achieve our ambition we need to develop methods that lie beyond the cutting edge academic and industrial research of today and as a scientist, you will bring…"
186,Senior Data Scientist,London,Working with Product to define data collection and modeling frameworks.Experience in “Ad Tech” data science principles a huge plus.
187,Data Scientist I,Southampton,Participate in relevant cross R&D forums related to data science and big data.The New Sciences group are looking for a data scientist that will help us…
188,Data Scientist,Oxford,"Data Scientist | Machine Learning | Up to £65,000 | Oxford | Flexible and Remote.Python | Pandas | Numpy | SciKit – Learn | SQL | Big Data | AWS | Git | and…"
189,Lead Data Scientist,Paddington,"Proficient with SQL and NoSQL data bases.Expert in mining large and complex data sets - both structures and unstructured extraction of data, transformation and…"
190,Graduate – Applied Scientist / Theoretical Scientist (Physic...,Reading,"Our physicists conduct research in some of the most challenging, complex and exciting areas of science in the UK."
191,Data Engineering & Analytics,London,Created a data analytics database for computational chemistry as part of a wider data infrastructure for augmented drug discovery.
192,Senior Data Scientist,Hatfield,Cluster computing data processing frameworks (e.g. Spark).You will plan and manage data-driven projects for the business.
193,Lead Data Scientist,London,Provide thought and technical leadership to other data scientists in the team.Design data products to deliver insights/support.
194,Data Scientist – (Business Consultancy / Analysis),London,The company are a recently-formed collective of well-regarded Cyber Security thoughtleaders & AI specialists who are developing a unique cloud-based integrated…
195,Machine Learning Scientist,London,"Build and refine Machine Learning algorithms that can find “useful” patterns in large multi-modal data (particularly, images, text, conversations, and…"
196,Data Science Heilbronn Research Fellowship,Bristol BS8,"Exceptionally, a successful candidate may be able to negotiate up to 80% of personal research time if working on a relevant topic, including any foundational…"
197,"Research Engineer (AI, Machine Learning, Data Mining)",Bristol BS1 4ND,Generating IP and research publications at high quality journals and top conferences would be highly encouraged.
198,Customer Analytics Data Scientist - Manager,London,Track record of professional achievements to include leading teams of data scientists and analysts in project work.Own the data science solution in production.
199,Senior Data Scientist,Skipton,"Experience managing large and complex data sets.In this impactful role within the Customer Insights team, you’ll be responsible for using advanced analytics…"
200,"Algorithm & Software Developer (Machine Learning, Computer V...",Woking GU21 5SB,"You will be working on state of the art systems for processing imagery, video, sensor, and intelligence data.You will be working on application of state of the…"
201,Data Science Internship,London,"Demonstrable proficiency in statistical data analysis and data visualisation.You will use your knowledge of data blending, statistical analysis, and machine…"
202,Senior Developer / Senior Data Scientist,London,"The right candidate can work with highly functional routines to build an app for the end user.Be involved in early stage conversations to assess viability,…"
203,Data Scientist,Crawley,Leads and coaches other data scientists.Translate business problems into data science models.Sets and leads the data science framework.
204,Lead Data Scientist,London,A clear understanding of the full data lifecycle.You will have ideally lead either large scale projects or data science teams in the past.Up to £95k + bonus.
205,Finance Graduate,Leeds LS11 5AD,"You'll have a keen interest in future technologies, strong research and critical thinking skills and an inquisitive mindset and a degree in Data Science,…"
206,Data Scientist,London,Strong employee development and progression scheme for data scientists.As a data scientist you will be combining the three key pillars of the company to…
207,Senior Data Scientist,London,"Combine data sources with insights to monetize our long-tail catalogue.Preparing data sets for applications such as classification, modelling and clustering."
208,Applied Scientist,London,"Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.)."
209,Senior Data Scientist,London,"You’ll lead the data science thinking across the organisation, acting as a senior contributor, mentoring other data scientists and analysts and developing a…"
210,BXB Digital: Data Scientist,Manchester M16 0PQ,Have presented results to non-data scientist audience.Utilized several data science methodologies.Successful application of data science principles.
211,Senior Data Scientist,Nottingham,"Strong communication and data presentation skills.Collaborating on commercially focused projects with colleagues from data engineering, insights and business…"
